PRI_INDEX,ROUTING_SET,START_TIME,STOP_TIME,HOUR,MINUTE,Req w/ Unp,Req,Sch,Schedule Tally Delta,Net,APS,Dev,Adh,Status,Lock
35,NetClaim Multiskill - Global,3/31/2022,4/1/2022,8,30,7.62,7.62,11,,3.38,,,,Unavailable,0
36,NetClaim Multiskill - Global,3/31/2022,4/1/2022,8,45,8.63,8.63,13,,4.37,,,,Unavailable,0
37,NetClaim Multiskill - Global,3/31/2022,4/1/2022,9,0,10.38,10.38,15,,4.62,,,,Unavailable,0
38,NetClaim Multiskill - Global,3/31/2022,4/1/2022,9,15,13.21,13.21,15,,1.79,,,,Unavailable,0
39,NetClaim Multiskill - Global,3/31/2022,4/1/2022,9,30,15.89,15.89,16,,0.11,,,,Unavailable,0
40,NetClaim Multiskill - Global,3/31/2022,4/1/2022,9,45,13.64,13.64,16,,2.36,,,,Unavailable,0
41,NetClaim Multiskill - Global,3/31/2022,4/1/2022,10,0,13,13,13,,0,,,,Unavailable,0
42,NetClaim Multiskill - Global,3/31/2022,4/1/2022,10,15,16,16,16,,0,,,,Unavailable,0
43,NetClaim Multiskill - Global,3/31/2022,4/1/2022,10,30,13.11,13.11,16,,2.89,,,,Unavailable,0
44,NetClaim Multiskill - Global,3/31/2022,4/1/2022,10,45,13.28,13.28,17.33,,4.05,,,,Unavailable,0
45,NetClaim Multiskill - Global,3/31/2022,4/1/2022,11,0,18,18,18,,0,,,,Unavailable,0
46,NetClaim Multiskill - Global,3/31/2022,4/1/2022,11,15,18,18,18,,0,,,,Unavailable,0
47,NetClaim Multiskill - Global,3/31/2022,4/1/2022,11,30,15.81,15.81,18,,2.19,,,,Unavailable,0
48,NetClaim Multiskill - Global,3/31/2022,4/1/2022,11,45,16.62,16.62,20,,3.38,,,,Unavailable,0
49,NetClaim Multiskill - Global,3/31/2022,4/1/2022,12,0,20,20,20,,0,,,,Unavailable,0
50,NetClaim Multiskill - Global,3/31/2022,4/1/2022,12,15,15.68,15.68,18,,2.32,,,,Unavailable,0
51,NetClaim Multiskill - Global,3/31/2022,4/1/2022,12,30,16,16,16,,0,,,,Unavailable,0
52,NetClaim Multiskill - Global,3/31/2022,4/1/2022,12,45,20.06,20.06,21,,0.94,,,,Unavailable,0
53,NetClaim Multiskill - Global,3/31/2022,4/1/2022,13,0,16.85,16.85,20,,3.15,,,,Unavailable,0
54,NetClaim Multiskill - Global,3/31/2022,4/1/2022,13,15,21,21,21,,0,,,,Unavailable,0
55,NetClaim Multiskill - Global,3/31/2022,4/1/2022,13,30,17.52,17.52,21,,3.48,,,,Unavailable,0
56,NetClaim Multiskill - Global,3/31/2022,4/1/2022,13,45,19.31,19.31,20.67,,1.36,,,,Unavailable,0
57,NetClaim Multiskill - Global,3/31/2022,4/1/2022,14,0,20.33,20.33,20.33,,0,,,,Unavailable,0
58,NetClaim Multiskill - Global,3/31/2022,4/1/2022,14,15,20.4,20.4,20,,-0.4,,,,Unavailable,0
59,NetClaim Multiskill - Global,3/31/2022,4/1/2022,14,30,18.4,18.4,21,,2.6,,,,Unavailable,0
60,NetClaim Multiskill - Global,3/31/2022,4/1/2022,14,45,18,18,18,,0,,,,Unavailable,0
61,NetClaim Multiskill - Global,3/31/2022,4/1/2022,15,0,18.06,18.06,19,,0.94,,,,Unavailable,0
62,NetClaim Multiskill - Global,3/31/2022,4/1/2022,15,15,17.22,17.22,18.67,,1.45,,,,Unavailable,0
63,NetClaim Multiskill - Global,3/31/2022,4/1/2022,15,30,13.07,13.07,19,,5.93,,,,Unavailable,0
64,NetClaim Multiskill - Global,3/31/2022,4/1/2022,15,45,20.93,20.93,21,,0.07,,,,Unavailable,0
65,NetClaim Multiskill - Global,3/31/2022,4/1/2022,16,0,18.45,18.45,20,,1.55,,,,Unavailable,0
66,NetClaim Multiskill - Global,3/31/2022,4/1/2022,16,15,20.84,20.84,18.33,,-2.51,,,,Unavailable,0
67,NetClaim Multiskill - Global,3/31/2022,4/1/2022,16,30,16.62,16.62,16.67,,0.05,,,,Unavailable,0
68,NetClaim Multiskill - Global,3/31/2022,4/1/2022,16,45,14.8,14.8,17.33,,2.53,,,,Unavailable,0
69,NetClaim Multiskill - Global,3/31/2022,4/1/2022,17,0,15.17,15.17,15.33,,0.16,,,,Unavailable,0
70,NetClaim Multiskill - Global,3/31/2022,4/1/2022,17,15,14.45,14.45,14,,-0.45,,,,Unavailable,0
71,NetClaim Multiskill - Global,3/31/2022,4/1/2022,17,30,11.54,11.54,13,,1.46,,,,Unavailable,0
72,NetClaim Multiskill - Global,3/31/2022,4/1/2022,17,45,12.82,12.82,13,,0.18,,,,Unavailable,0
73,NetClaim Multiskill - Global,3/31/2022,4/1/2022,18,0,8.31,8.31,10,,1.69,,,,Unavailable,0
74,NetClaim Multiskill - Global,3/31/2022,4/1/2022,18,15,9.33,9.33,9.33,,0,,,,Unavailable,0
75,NetClaim Multiskill - Global,3/31/2022,4/1/2022,18,30,10.78,10.78,11,,0.22,,,,Unavailable,0
76,NetClaim Multiskill - Global,3/31/2022,4/1/2022,18,45,15.05,15.05,9.67,,-5.38,,,,Unavailable,0
77,NetClaim Multiskill - Global,3/31/2022,4/1/2022,19,0,8.95,8.95,10,,1.05,,,,Unavailable,0
78,NetClaim Multiskill - Global,3/31/2022,4/1/2022,19,15,10.07,10.07,10.67,,0.6,,,,Unavailable,0
79,NetClaim Multiskill - Global,3/31/2022,4/1/2022,19,30,7.81,7.81,10.33,,2.52,,,,Unavailable,0
80,NetClaim Multiskill - Global,3/31/2022,4/1/2022,19,45,6.65,6.65,8.67,,2.02,,,,Unavailable,0
81,NetClaim Multiskill - Global,3/31/2022,4/1/2022,20,0,6.7,6.7,9,,2.3,,,,Unavailable,0
82,NetClaim Multiskill - Global,3/31/2022,4/1/2022,20,15,7.02,7.02,8,,0.98,,,,Unavailable,0
83,NetClaim Multiskill - Global,3/31/2022,4/1/2022,20,30,6.51,6.51,9,,2.49,,,,Unavailable,0
84,NetClaim Multiskill - Global,3/31/2022,4/1/2022,20,45,5.72,5.72,7.33,,1.61,,,,Unavailable,0
85,NetClaim Multiskill - Global,3/31/2022,4/1/2022,21,0,5.72,5.72,6.33,,0.61,,,,Unavailable,0
86,NetClaim Multiskill - Global,3/31/2022,4/1/2022,21,15,4,4,4,,0,,,,Unavailable,0
87,NetClaim Multiskill - Global,3/31/2022,4/1/2022,21,30,3.66,3.66,4,,0.34,,,,Unavailable,0
88,NetClaim Multiskill - Global,3/31/2022,4/1/2022,21,45,2.5,2.5,4,,1.5,,,,Unavailable,0
89,NetClaim Multiskill - Global,3/31/2022,4/1/2022,22,0,4.05,4.05,5,,0.95,,,,Unavailable,0
90,NetClaim Multiskill - Global,3/31/2022,4/1/2022,22,15,5.25,5.25,5,,-0.25,,,,Unavailable,0
91,NetClaim Multiskill - Global,3/31/2022,4/1/2022,22,30,2.73,2.73,5,,2.27,,,,Unavailable,0
92,NetClaim Multiskill - Global,3/31/2022,4/1/2022,22,45,6.39,6.39,5,,-1.39,,,,Unavailable,0
93,NetClaim Multiskill - Global,3/31/2022,4/1/2022,23,0,5.25,5.25,5,,-0.25,,,,Unavailable,0
94,NetClaim Multiskill - Global,3/31/2022,4/1/2022,23,15,1.47,1.47,3.67,,2.2,,,,Unavailable,0
95,NetClaim Multiskill - Global,3/31/2022,4/1/2022,23,30,0,0,2.67,,2.67,,,,Unavailable,0
96,NetClaim Multiskill - Global,3/31/2022,4/1/2022,23,45,0,0,1.67,,1.67,,,,Unavailable,0
97,NetClaim Multiskill - Global,4/1/2022,4/2/2022,0,0,4.02,4.02,3,,-1.02,,,,Unavailable,0
98,NetClaim Multiskill - Global,4/1/2022,4/2/2022,0,15,4.02,4.02,4,,-0.02,,,,Unavailable,0
99,NetClaim Multiskill - Global,4/1/2022,4/2/2022,0,30,0,0,4,,4,,,,Unavailable,0
100,NetClaim Multiskill - Global,4/1/2022,4/2/2022,0,45,4.02,4.02,4,,-0.02,,,,Unavailable,0
101,NetClaim Multiskill - Global,4/1/2022,4/2/2022,1,0,2.71,2.71,4,,1.29,,,,Unavailable,0
102,NetClaim Multiskill - Global,4/1/2022,4/2/2022,1,15,2.71,2.71,3,,0.29,,,,Unavailable,0
103,NetClaim Multiskill - Global,4/1/2022,4/2/2022,1,30,0,0,4,,4,,,,Unavailable,0
104,NetClaim Multiskill - Global,4/1/2022,4/2/2022,1,45,2.66,2.66,3,,0.34,,,,Unavailable,0
105,NetClaim Multiskill - Global,4/1/2022,4/2/2022,2,0,2.09,2.09,2,,-0.09,,,,Unavailable,0
106,NetClaim Multiskill - Global,4/1/2022,4/2/2022,2,15,2.71,2.71,4,,1.29,,,,Unavailable,0
107,NetClaim Multiskill - Global,4/1/2022,4/2/2022,2,30,0,0,4,,4,,,,Unavailable,0
108,NetClaim Multiskill - Global,4/1/2022,4/2/2022,2,45,0,0,4,,4,,,,Unavailable,0
109,NetClaim Multiskill - Global,4/1/2022,4/2/2022,3,0,4,4,4,,0,,,,Unavailable,0
110,NetClaim Multiskill - Global,4/1/2022,4/2/2022,3,15,0,0,3.33,,3.33,,,,Unavailable,0
111,NetClaim Multiskill - Global,4/1/2022,4/2/2022,3,30,0,0,2,,2,,,,Unavailable,0
112,NetClaim Multiskill - Global,4/1/2022,4/2/2022,3,45,0,0,2,,2,,,,Unavailable,0
113,NetClaim Multiskill - Global,4/1/2022,4/2/2022,4,0,0,0,2,,2,,,,Unavailable,0
114,NetClaim Multiskill - Global,4/1/2022,4/2/2022,4,15,0,0,1,,1,,,,Unavailable,0
115,NetClaim Multiskill - Global,4/1/2022,4/2/2022,4,30,0,0,1,,1,,,,Unavailable,0
116,NetClaim Multiskill - Global,4/1/2022,4/2/2022,4,45,3.22,3.22,1,,-2.22,,,,Unavailable,0
117,NetClaim Multiskill - Global,4/1/2022,4/2/2022,5,0,3.22,3.22,1,,-2.22,,,,Unavailable,0
118,NetClaim Multiskill - Global,4/1/2022,4/2/2022,5,15,2.23,2.23,2,,-0.23,,,,Unavailable,0
119,NetClaim Multiskill - Global,4/1/2022,4/2/2022,5,30,0,0,3,,3,,,,Unavailable,0
120,NetClaim Multiskill - Global,4/1/2022,4/2/2022,5,45,0,0,5,,5,,,,Unavailable,0
121,NetClaim Multiskill - Global,4/1/2022,4/2/2022,6,0,3.22,3.22,5,,1.78,,,,Unavailable,0
122,NetClaim Multiskill - Global,4/1/2022,4/2/2022,6,15,2.23,2.23,4.67,,2.44,,,,Unavailable,0
123,NetClaim Multiskill - Global,4/1/2022,4/2/2022,6,30,3.22,3.22,4,,0.78,,,,Unavailable,0
124,NetClaim Multiskill - Global,4/1/2022,4/2/2022,6,45,3.22,3.22,4,,0.78,,,,Unavailable,0
125,NetClaim Multiskill - Global,4/1/2022,4/2/2022,7,0,0,0,5,,5,,,,Unavailable,0
126,NetClaim Multiskill - Global,4/1/2022,4/2/2022,7,15,2.23,2.23,6,,3.77,,,,Unavailable,0
127,NetClaim Multiskill - Global,4/1/2022,4/2/2022,7,30,3.22,3.22,6,,2.78,,,,Unavailable,0
128,NetClaim Multiskill - Global,4/1/2022,4/2/2022,7,45,3,3,3,,0,,,,Unavailable,0
129,NetClaim Multiskill - Global,4/1/2022,4/2/2022,8,0,4.74,4.74,9,,4.26,,,,Unavailable,0
130,NetClaim Multiskill - Global,4/1/2022,4/2/2022,8,15,7.69,7.69,10,,2.31,,,,Unavailable,0
131,NetClaim Multiskill - Global,4/1/2022,4/2/2022,8,30,7.69,7.69,10,,2.31,,,,Unavailable,0
132,NetClaim Multiskill - Global,4/1/2022,4/2/2022,8,45,8.63,8.63,14,,5.37,,,,Unavailable,0
133,NetClaim Multiskill - Global,4/1/2022,4/2/2022,9,0,6.73,6.73,16,,9.27,,,,Unavailable,0
134,NetClaim Multiskill - Global,4/1/2022,4/2/2022,9,15,11.4,11.4,16,,4.6,,,,Unavailable,0
135,NetClaim Multiskill - Global,4/1/2022,4/2/2022,9,30,9.56,9.56,16,,6.44,,,,Unavailable,0
136,NetClaim Multiskill - Global,4/1/2022,4/2/2022,9,45,11.4,11.4,17,,5.6,,,,Unavailable,0
137,NetClaim Multiskill - Global,4/1/2022,4/2/2022,10,0,12.98,12.98,15,,2.02,,,,Unavailable,0
138,NetClaim Multiskill - Global,4/1/2022,4/2/2022,10,15,16.21,16.21,18,,1.79,,,,Unavailable,0
139,NetClaim Multiskill - Global,4/1/2022,4/2/2022,10,30,15.58,15.58,18,,2.42,,,,Unavailable,0
140,NetClaim Multiskill - Global,4/1/2022,4/2/2022,10,45,14.77,14.77,19.33,,4.56,,,,Unavailable,0
141,NetClaim Multiskill - Global,4/1/2022,4/2/2022,11,0,17.18,17.18,20,,2.82,,,,Unavailable,0
142,NetClaim Multiskill - Global,4/1/2022,4/2/2022,11,15,17.96,17.96,20,,2.04,,,,Unavailable,0
143,NetClaim Multiskill - Global,4/1/2022,4/2/2022,11,30,15.16,15.16,20,,4.84,,,,Unavailable,0
144,NetClaim Multiskill - Global,4/1/2022,4/2/2022,11,45,18.96,18.96,20,,1.04,,,,Unavailable,0
145,NetClaim Multiskill - Global,4/1/2022,4/2/2022,12,0,17.18,17.18,18,,0.82,,,,Unavailable,0
146,NetClaim Multiskill - Global,4/1/2022,4/2/2022,12,15,12.29,12.29,19,,6.71,,,,Unavailable,0
147,NetClaim Multiskill - Global,4/1/2022,4/2/2022,12,30,17.18,17.18,18,,0.82,,,,Unavailable,0
148,NetClaim Multiskill - Global,4/1/2022,4/2/2022,12,45,19.1,19.1,21,,1.9,,,,Unavailable,0
149,NetClaim Multiskill - Global,4/1/2022,4/2/2022,13,0,18.45,18.45,21,,2.55,,,,Unavailable,0
150,NetClaim Multiskill - Global,4/1/2022,4/2/2022,13,15,20.06,20.06,21,,0.94,,,,Unavailable,0
151,NetClaim Multiskill - Global,4/1/2022,4/2/2022,13,30,20.06,20.06,20,,-0.06,,,,Unavailable,0
152,NetClaim Multiskill - Global,4/1/2022,4/2/2022,13,45,20.67,20.67,20.67,,0,,,,Unavailable,0
153,NetClaim Multiskill - Global,4/1/2022,4/2/2022,14,0,18.14,18.14,20.33,,2.19,,,,Unavailable,0
154,NetClaim Multiskill - Global,4/1/2022,4/2/2022,14,15,16.91,16.91,20,,3.09,,,,Unavailable,0
155,NetClaim Multiskill - Global,4/1/2022,4/2/2022,14,30,16.88,16.88,18,,1.12,,,,Unavailable,0
156,NetClaim Multiskill - Global,4/1/2022,4/2/2022,14,45,15.93,15.93,17,,1.07,,,,Unavailable,0
157,NetClaim Multiskill - Global,4/1/2022,4/2/2022,15,0,18,18,18,,0,,,,Unavailable,0
158,NetClaim Multiskill - Global,4/1/2022,4/2/2022,15,15,16.9,16.9,18,,1.1,,,,Unavailable,0
159,NetClaim Multiskill - Global,4/1/2022,4/2/2022,15,30,17.67,17.67,17.67,,0,,,,Unavailable,0
