,dIntervalStart,nEnteredAcd,Start
235,3/11/2022 19:45,1,2022-03-11 19:45:00
236,3/11/2022 1:00,1,2022-03-11 01:00:00
237,3/11/2022 1:15,1,2022-03-11 01:15:00
238,3/11/2022 1:30,1,2022-03-11 01:30:00
239,3/11/2022 20:00,1,2022-03-11 20:00:00
240,3/11/2022 20:15,1,2022-03-11 20:15:00
241,3/11/2022 20:30,1,2022-03-11 20:30:00
242,3/11/2022 20:45,1,2022-03-11 20:45:00
243,3/11/2022 21:00,1,2022-03-11 21:00:00
244,3/11/2022 21:15,1,2022-03-11 21:15:00
245,3/11/2022 21:30,1,2022-03-11 21:30:00
246,3/11/2022 21:45,1,2022-03-11 21:45:00
247,3/11/2022 22:00,1,2022-03-11 22:00:00
248,3/11/2022 22:15,1,2022-03-11 22:15:00
249,3/11/2022 22:30,1,2022-03-11 22:30:00
250,3/11/2022 22:45,1,2022-03-11 22:45:00
251,3/11/2022 23:00,1,2022-03-11 23:00:00
252,3/11/2022 23:15,1,2022-03-11 23:15:00
253,3/11/2022 23:30,1,2022-03-11 23:30:00
254,3/11/2022 23:45,1,2022-03-11 23:45:00
255,3/11/2022 2:00,1,2022-03-11 02:00:00
256,3/11/2022 2:15,1,2022-03-11 02:15:00
257,3/11/2022 2:30,1,2022-03-11 02:30:00
258,3/11/2022 2:45,1,2022-03-11 02:45:00
259,3/11/2022 3:00,1,2022-03-11 03:00:00
260,3/11/2022 3:30,1,2022-03-11 03:30:00
261,3/11/2022 3:45,1,2022-03-11 03:45:00
262,3/11/2022 4:00,1,2022-03-11 04:00:00
263,3/11/2022 4:15,1,2022-03-11 04:15:00
264,3/11/2022 4:30,1,2022-03-11 04:30:00
265,3/11/2022 4:45,1,2022-03-11 04:45:00
266,3/11/2022 5:00,1,2022-03-11 05:00:00
267,3/11/2022 5:15,1,2022-03-11 05:15:00
268,3/11/2022 5:30,1,2022-03-11 05:30:00
269,3/11/2022 5:45,1,2022-03-11 05:45:00
270,3/11/2022 6:00,1,2022-03-11 06:00:00
271,3/11/2022 6:15,1,2022-03-11 06:15:00
272,3/11/2022 6:30,1,2022-03-11 06:30:00
273,3/11/2022 6:45,1,2022-03-11 06:45:00
274,3/11/2022 7:00,1,2022-03-11 07:00:00
275,3/11/2022 7:15,1,2022-03-11 07:15:00
276,3/11/2022 7:30,1,2022-03-11 07:30:00
277,3/11/2022 7:45,1,2022-03-11 07:45:00
278,3/11/2022 8:00,1,2022-03-11 08:00:00
279,3/11/2022 8:15,1,2022-03-11 08:15:00
280,3/11/2022 8:30,1,2022-03-11 08:30:00
281,3/11/2022 8:45,1,2022-03-11 08:45:00
282,3/11/2022 9:00,1,2022-03-11 09:00:00
283,3/11/2022 9:15,1,2022-03-11 09:15:00
284,3/11/2022 9:30,1,2022-03-11 09:30:00
285,3/11/2022 9:45,1,2022-03-11 09:45:00
286,3/12/2022 0:00,1,2022-03-12 00:00:00
287,3/12/2022 0:15,1,2022-03-12 00:15:00
288,3/12/2022 0:30,1,2022-03-12 00:30:00
289,3/12/2022 0:45,1,2022-03-12 00:45:00
290,3/12/2022 10:00,1,2022-03-12 10:00:00
291,3/12/2022 10:15,1,2022-03-12 10:15:00
292,3/12/2022 10:30,1,2022-03-12 10:30:00
293,3/12/2022 10:45,1,2022-03-12 10:45:00
294,3/12/2022 11:00,1,2022-03-12 11:00:00
295,3/12/2022 11:15,1,2022-03-12 11:15:00
296,3/12/2022 11:30,1,2022-03-12 11:30:00
297,3/12/2022 11:45,1,2022-03-12 11:45:00
298,3/12/2022 12:00,1,2022-03-12 12:00:00
299,3/12/2022 12:15,1,2022-03-12 12:15:00
300,3/12/2022 12:30,1,2022-03-12 12:30:00
301,3/12/2022 12:45,1,2022-03-12 12:45:00
302,3/12/2022 13:00,1,2022-03-12 13:00:00
303,3/12/2022 13:15,1,2022-03-12 13:15:00
304,3/12/2022 13:30,1,2022-03-12 13:30:00
305,3/12/2022 13:45,1,2022-03-12 13:45:00
306,3/12/2022 14:00,1,2022-03-12 14:00:00
307,3/12/2022 14:15,1,2022-03-12 14:15:00
308,3/12/2022 14:30,1,2022-03-12 14:30:00
309,3/12/2022 14:45,1,2022-03-12 14:45:00
310,3/12/2022 15:00,1,2022-03-12 15:00:00
311,3/12/2022 15:15,1,2022-03-12 15:15:00
312,3/12/2022 15:30,1,2022-03-12 15:30:00
313,3/12/2022 15:45,1,2022-03-12 15:45:00
314,3/12/2022 16:00,1,2022-03-12 16:00:00
315,3/12/2022 16:15,1,2022-03-12 16:15:00
316,3/12/2022 16:30,1,2022-03-12 16:30:00
317,3/12/2022 16:45,1,2022-03-12 16:45:00
318,3/12/2022 17:00,1,2022-03-12 17:00:00
319,3/12/2022 17:15,1,2022-03-12 17:15:00
320,3/12/2022 17:30,1,2022-03-12 17:30:00
321,3/12/2022 17:45,1,2022-03-12 17:45:00
322,3/12/2022 18:00,1,2022-03-12 18:00:00
323,3/12/2022 18:15,1,2022-03-12 18:15:00
324,3/12/2022 18:30,1,2022-03-12 18:30:00
325,3/12/2022 18:45,1,2022-03-12 18:45:00
326,3/12/2022 19:00,1,2022-03-12 19:00:00
327,3/12/2022 19:15,1,2022-03-12 19:15:00
328,3/12/2022 19:30,1,2022-03-12 19:30:00
329,3/12/2022 19:45,1,2022-03-12 19:45:00
330,3/12/2022 1:00,1,2022-03-12 01:00:00
331,3/12/2022 1:15,1,2022-03-12 01:15:00
332,3/12/2022 1:30,1,2022-03-12 01:30:00
333,3/12/2022 1:45,1,2022-03-12 01:45:00
334,3/12/2022 20:00,1,2022-03-12 20:00:00
335,3/12/2022 20:15,1,2022-03-12 20:15:00
336,3/12/2022 20:30,1,2022-03-12 20:30:00
337,3/12/2022 20:45,1,2022-03-12 20:45:00
338,3/12/2022 21:00,1,2022-03-12 21:00:00
339,3/12/2022 21:15,1,2022-03-12 21:15:00
340,3/12/2022 21:30,1,2022-03-12 21:30:00
341,3/12/2022 21:45,1,2022-03-12 21:45:00
342,3/12/2022 22:00,1,2022-03-12 22:00:00
343,3/12/2022 22:15,1,2022-03-12 22:15:00
344,3/12/2022 22:30,1,2022-03-12 22:30:00
345,3/12/2022 22:45,1,2022-03-12 22:45:00
346,3/12/2022 23:00,1,2022-03-12 23:00:00
347,3/12/2022 23:15,1,2022-03-12 23:15:00
348,3/12/2022 23:30,1,2022-03-12 23:30:00
349,3/12/2022 23:45,1,2022-03-12 23:45:00
350,3/12/2022 2:00,1,2022-03-12 02:00:00
351,3/12/2022 2:15,1,2022-03-12 02:15:00
352,3/12/2022 2:30,1,2022-03-12 02:30:00
353,3/12/2022 2:45,1,2022-03-12 02:45:00
354,3/12/2022 3:00,1,2022-03-12 03:00:00
355,3/12/2022 3:15,1,2022-03-12 03:15:00
356,3/12/2022 3:30,1,2022-03-12 03:30:00
357,3/12/2022 3:45,1,2022-03-12 03:45:00
358,3/12/2022 4:00,1,2022-03-12 04:00:00
359,3/12/2022 4:15,1,2022-03-12 04:15:00
360,3/12/2022 4:30,1,2022-03-12 04:30:00
361,3/12/2022 4:45,1,2022-03-12 04:45:00
362,3/12/2022 5:00,1,2022-03-12 05:00:00
363,3/12/2022 5:15,1,2022-03-12 05:15:00
364,3/12/2022 5:30,1,2022-03-12 05:30:00
365,3/12/2022 5:45,1,2022-03-12 05:45:00
366,3/12/2022 6:00,1,2022-03-12 06:00:00
367,3/12/2022 6:15,1,2022-03-12 06:15:00
368,3/12/2022 6:30,1,2022-03-12 06:30:00
369,3/12/2022 6:45,1,2022-03-12 06:45:00
370,3/12/2022 7:00,1,2022-03-12 07:00:00
371,3/12/2022 7:15,1,2022-03-12 07:15:00
372,3/12/2022 7:30,1,2022-03-12 07:30:00
373,3/12/2022 7:45,1,2022-03-12 07:45:00
