"PRI_INDEX","ROUTING_SET","START_TIME","STOP_TIME","HOUR","MINUTE","Req","Sch","Schedule Tally Delta","Net"
97,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,0,0,2.1,3,,0.9
98,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,0,15,0,2,,2
99,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,0,30,1.65,3,,1.35
100,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,0,45,2.45,3,,0.55
101,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,1,0,0,3,,3
102,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,1,15,4.94,3,,-1.94
103,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,1,30,2.31,3,,0.69
104,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,1,45,3,3,,0
105,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,2,0,2.68,1,,-1.68
106,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,2,15,2.68,1,,-1.68
107,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,2,30,0,0,,0
108,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,2,45,1.34,0,,-1.34
109,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,3,0,0,3,,3
110,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,3,15,3,3,,0
111,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,3,30,0,3,,3
112,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,3,45,2,3,,1
113,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,4,0,0,3,,3
114,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,4,15,0,3,,3
115,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,4,30,0,2,,2
116,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,4,45,0,3,,3
117,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,5,0,0,3,,3
118,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,5,15,0,3,,3
119,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,5,30,0,3,,3
120,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,5,45,0,1,,1
121,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,6,0,0,3,,3
122,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,6,15,0,2.67,,2.67
123,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,6,30,0,3,,3
124,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,6,45,3,3,,0
125,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,7,0,3,3,,0
126,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,7,15,0,3,,3
127,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,7,30,0,3,,3
128,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,7,45,0,2.33,,2.33
129,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,8,0,0,3,,3
130,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,8,15,0,3,,3
131,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,8,30,0,3,,3
132,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,8,45,0,3,,3
133,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,9,0,1.18,3,,1.82
134,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,9,15,0,3,,3
135,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,9,30,0.82,3,,2.18
136,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,9,45,0,3,,3
137,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,10,0,1.04,4,,2.96
138,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,10,15,1.32,4,,2.68
139,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,10,30,0,3,,3
140,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,10,45,0,3,,3
141,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,11,0,1.36,4,,2.64
142,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,11,15,0,3,,3
143,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,11,30,0,3,,3
144,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,11,45,1.76,4,,2.24
145,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,12,0,1.18,4,,2.82
146,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,12,15,1.37,4,,2.63
147,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,12,30,1.23,3,,1.77
148,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,12,45,1.25,3,,1.75
149,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,13,0,1.3,4,,2.7
150,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,13,15,2.72,4,,1.28
151,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,13,30,0,3,,3
152,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,13,45,0,3,,3
153,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,14,0,1.44,4,,2.56
154,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,14,15,1.62,4,,2.38
155,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,14,30,0,3,,3
156,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,14,45,1.4,4,,2.6
157,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,15,0,3.05,5,,1.95
158,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,15,15,2.7,5,,2.3
159,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,15,30,1.55,5,,3.45
160,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,15,45,1.7,4.67,,2.97
161,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,16,0,1.66,4,,2.34
162,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,16,15,1.68,4,,2.32
163,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,16,30,1.53,4,,2.47
164,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,16,45,1.33,5,,3.67
165,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,17,0,1.45,4.67,,3.22
166,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,17,15,0,3,,3
167,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,17,30,0,3,,3
168,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,17,45,1.32,4,,2.68
169,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,18,0,0,3,,3
170,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,18,15,0,2,,2
171,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,18,30,1.08,4,,2.92
172,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,18,45,0,4,,4
173,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,19,0,1.18,4,,2.82
174,"NetClaim Multiskill - Global",11/13/2022,11/14/2022,19,15,1.75,4,,2.25
