MDate,nEnteredAcd,Start,Req,Sch,Net,Period,PeriodM
3/2/2022 8:30,10,3/2/2022 8:30,9.51,10,0.49,3/2/2022 8:30,8:30:00
3/2/2022 8:45,10,3/2/2022 8:45,11.65,13,1.35,3/2/2022 8:45,8:45:00
3/2/2022 9:00,9,3/2/2022 9:00,12.88,13,0.12,3/2/2022 9:00,9:00:00
3/2/2022 9:15,13,3/2/2022 9:15,12.63,13,0.37,3/2/2022 9:15,9:15:00
3/2/2022 9:30,13,3/2/2022 9:30,15.7,14,-1.7,3/2/2022 9:30,9:30:00
3/2/2022 9:45,12,3/2/2022 9:45,13,10,-3,3/2/2022 9:45,9:45:00
3/2/2022 10:00,11,3/2/2022 10:00,17.19,13,-4.19,3/2/2022 10:00,10:00:00
3/2/2022 10:15,12,3/2/2022 10:15,19.01,15.8,-3.21,3/2/2022 10:15,10:15:00
3/2/2022 10:30,13,3/2/2022 10:30,17,15.27,-1.73,3/2/2022 10:30,10:30:00
3/2/2022 10:45,13,3/2/2022 10:45,21.09,16.4,-4.69,3/2/2022 10:45,10:45:00
3/2/2022 11:00,12,3/2/2022 11:00,17.13,17.13,0,3/2/2022 11:00,11:00:00
3/2/2022 11:15,16,3/2/2022 11:15,15.89,17.73,1.84,3/2/2022 11:15,11:15:00
3/2/2022 11:30,14,3/2/2022 11:30,14.53,14.53,0,3/2/2022 11:30,11:30:00
3/2/2022 11:45,12,3/2/2022 11:45,14.33,14.33,0,3/2/2022 11:45,11:45:00
3/2/2022 12:00,15,3/2/2022 12:00,17.33,17.33,0,3/2/2022 12:00,12:00:00
3/2/2022 12:15,15,3/2/2022 12:15,17.27,17.27,0,3/2/2022 12:15,12:15:00
3/2/2022 12:30,14,3/2/2022 12:30,16.65,18,1.35,3/2/2022 12:30,12:30:00
3/2/2022 12:45,17,3/2/2022 12:45,16.06,19,2.94,3/2/2022 12:45,12:45:00
3/2/2022 13:00,15,3/2/2022 13:00,19,19,0,3/2/2022 13:00,13:00:00
3/2/2022 13:15,17,3/2/2022 13:15,15.87,15.87,0,3/2/2022 13:15,13:15:00
3/2/2022 13:30,18,3/2/2022 13:30,20.73,20.73,0,3/2/2022 13:30,13:30:00
3/2/2022 13:45,19,3/2/2022 13:45,25.77,21.47,-4.3,3/2/2022 13:45,13:45:00
3/2/2022 14:00,21,3/2/2022 14:00,20.33,20.33,0,3/2/2022 14:00,14:00:00
3/2/2022 14:15,14,3/2/2022 14:15,18,18,0,3/2/2022 14:15,14:15:00
3/2/2022 14:30,17,3/2/2022 14:30,20,20,0,3/2/2022 14:30,14:30:00
3/2/2022 14:45,14,3/2/2022 14:45,15.67,15.67,0,3/2/2022 14:45,14:45:00
3/2/2022 15:00,14,3/2/2022 15:00,18.4,18.4,0,3/2/2022 15:00,15:00:00
3/2/2022 15:15,18,3/2/2022 15:15,18.17,18.67,0.5,3/2/2022 15:15,15:15:00
3/2/2022 15:30,15,3/2/2022 15:30,18.27,18.27,0,3/2/2022 15:30,15:30:00
3/2/2022 15:45,16,3/2/2022 15:45,15.67,15.67,0,3/2/2022 15:45,15:45:00
3/2/2022 16:00,20,3/2/2022 16:00,17.4,18,0.6,3/2/2022 16:00,16:00:00
3/2/2022 16:15,16,3/2/2022 16:15,15.6,15.6,0,3/2/2022 16:15,16:15:00
3/2/2022 16:30,19,3/2/2022 16:30,15.67,15.67,0,3/2/2022 16:30,16:30:00
