Date,StatusKey,Code,StatusKey
2022-10-07,at lunch,ATL Ops Sup 5,14
2022-10-07,at lunch,ATL Ops Sup 6,8
2022-10-07,at lunch,ATL Ops Sup 7,18
2022-10-07,coaching,ATL Ops Sup 7,1
2022-10-07,escalation wait,ATL Ops Sup 5,9
2022-10-07,escalation wait,ATL Ops Sup 6,5
2022-10-07,escalation wait,ATL Ops Sup 7,14
2022-10-07,follow up,ATL Ops Sup 5,173
2022-10-07,follow up,ATL Ops Sup 6,120
2022-10-07,follow up,ATL Ops Sup 7,202
2022-10-07,in a meeting,ATL Ops Sup 7,5
2022-10-07,on call,ATL Ops Sup 5,228
2022-10-07,on call,ATL Ops Sup 6,171
2022-10-07,on call,ATL Ops Sup 7,302
2022-10-07,personal break,ATL Ops Sup 5,7
2022-10-07,personal break,ATL Ops Sup 6,5
2022-10-07,personal break,ATL Ops Sup 7,10
2022-10-07,scheduled break,ATL Ops Sup 5,26
2022-10-07,scheduled break,ATL Ops Sup 6,15
2022-10-07,scheduled break,ATL Ops Sup 7,35
2022-10-07,special assignment,ATL Ops Sup 5,6
2022-10-07,tc issues,ATL Ops Sup 5,2
2022-10-07,tc issues,ATL Ops Sup 6,5
2022-10-07,tc issues,ATL Ops Sup 7,7
2022-10-08,acw,ATL Ops Sup 5,79
2022-10-08,acw,ATL Ops Sup 6,22
2022-10-08,acw,ATL Ops Sup 7,112
2022-10-08,at lunch,ATL Ops Sup 5,14
2022-10-08,at lunch,ATL Ops Sup 6,2
2022-10-08,at lunch,ATL Ops Sup 7,12
2022-10-08,escalation wait,ATL Ops Sup 5,6
2022-10-08,escalation wait,ATL Ops Sup 7,6
2022-10-08,follow up,ATL Ops Sup 5,94
2022-10-08,follow up,ATL Ops Sup 6,9
2022-10-08,follow up,ATL Ops Sup 7,82
2022-10-08,on call,ATL Ops Sup 5,114
2022-10-08,on call,ATL Ops Sup 6,25
2022-10-08,on call,ATL Ops Sup 7,110
2022-10-08,personal break,ATL Ops Sup 5,1
2022-10-08,personal break,ATL Ops Sup 6,4
2022-10-08,personal break,ATL Ops Sup 7,5
2022-10-08,scheduled break,ATL Ops Sup 5,18
2022-10-08,scheduled break,ATL Ops Sup 6,4
2022-10-08,scheduled break,ATL Ops Sup 7,19
2022-10-08,special assignment,ATL Ops Sup 5,6
2022-10-08,special assignment,ATL Ops Sup 6,2
2022-10-08,system issues,ATL Ops Sup 5,1
2022-10-08,tc issues,ATL Ops Sup 5,6
2022-10-08,tc issues,ATL Ops Sup 6,5
2022-10-08,tc issues,ATL Ops Sup 7,5
2022-10-09,acw,ATL Ops Sup 5,39
2022-10-09,acw,ATL Ops Sup 6,12
2022-10-09,acw,ATL Ops Sup 7,63
2022-10-09,at lunch,ATL Ops Sup 5,11
2022-10-09,at lunch,ATL Ops Sup 6,2
2022-10-09,at lunch,ATL Ops Sup 7,4
2022-10-09,escalation wait,ATL Ops Sup 5,2
2022-10-09,follow up,ATL Ops Sup 5,47
2022-10-09,follow up,ATL Ops Sup 6,3
2022-10-09,follow up,ATL Ops Sup 7,41
2022-10-09,on call,ATL Ops Sup 5,53
2022-10-09,on call,ATL Ops Sup 6,11
2022-10-09,on call,ATL Ops Sup 7,53
2022-10-09,personal break,ATL Ops Sup 6,2
2022-10-09,personal break,ATL Ops Sup 7,4
2022-10-09,scheduled break,ATL Ops Sup 5,17
2022-10-09,scheduled break,ATL Ops Sup 6,3
2022-10-09,scheduled break,ATL Ops Sup 7,12
2022-10-09,tc issues,ATL Ops Sup 5,4
2022-10-10,acw,ATL Ops Sup 5,151
2022-10-10,acw,ATL Ops Sup 6,271
2022-10-10,acw,ATL Ops Sup 7,218
2022-10-10,at a training session,ATL Ops Sup 5,1
2022-10-10,at a training session,ATL Ops Sup 6,1
2022-10-10,at lunch,ATL Ops Sup 5,12
2022-10-10,at lunch,ATL Ops Sup 6,16
2022-10-10,at lunch,ATL Ops Sup 7,17
2022-10-10,escalation wait,ATL Ops Sup 5,10
2022-10-10,escalation wait,ATL Ops Sup 6,14
2022-10-10,escalation wait,ATL Ops Sup 7,7
2022-10-10,follow up,ATL Ops Sup 5,120
2022-10-10,follow up,ATL Ops Sup 6,200
2022-10-10,follow up,ATL Ops Sup 7,141
2022-10-10,in a meeting,ATL Ops Sup 5,2
2022-10-10,in a meeting,ATL Ops Sup 6,3
2022-10-10,on call,ATL Ops Sup 5,173
2022-10-10,on call,ATL Ops Sup 6,255
2022-10-10,on call,ATL Ops Sup 7,225
2022-10-10,personal break,ATL Ops Sup 5,2
2022-10-10,personal break,ATL Ops Sup 6,8
2022-10-10,personal break,ATL Ops Sup 7,8
2022-10-10,scheduled break,ATL Ops Sup 5,21
2022-10-10,scheduled break,ATL Ops Sup 6,25
2022-10-10,scheduled break,ATL Ops Sup 7,28
2022-10-10,special assignment,ATL Ops Sup 5,8
2022-10-10,special assignment,ATL Ops Sup 6,3
2022-10-10,system issues,ATL Ops Sup 5,1
2022-10-10,tc issues,ATL Ops Sup 5,14
2022-10-10,tc issues,ATL Ops Sup 6,24
2022-10-10,tc issues,ATL Ops Sup 7,6
2022-10-11,acw,ATL Ops Sup 5,176
2022-10-11,acw,ATL Ops Sup 6,305
2022-10-11,acw,ATL Ops Sup 7,261
2022-10-11,at a training session,ATL Ops Sup 6,2
2022-10-11,at a training session,ATL Ops Sup 7,1
2022-10-11,at lunch,ATL Ops Sup 5,16
2022-10-11,at lunch,ATL Ops Sup 6,14
2022-10-11,at lunch,ATL Ops Sup 7,20
2022-10-11,coaching,ATL Ops Sup 5,1
2022-10-11,escalation wait,ATL Ops Sup 5,12
2022-10-11,escalation wait,ATL Ops Sup 6,9
2022-10-11,escalation wait,ATL Ops Sup 7,11
2022-10-11,follow up,ATL Ops Sup 5,164
2022-10-11,follow up,ATL Ops Sup 6,219
2022-10-11,follow up,ATL Ops Sup 7,189
2022-10-11,in a meeting,ATL Ops Sup 5,1
2022-10-11,in a meeting,ATL Ops Sup 6,2
2022-10-11,in a meeting,ATL Ops Sup 7,2
2022-10-11,on call,ATL Ops Sup 5,210
2022-10-11,on call,ATL Ops Sup 6,310
2022-10-11,on call,ATL Ops Sup 7,278
2022-10-11,personal break,ATL Ops Sup 5,3
2022-10-11,personal break,ATL Ops Sup 6,10
2022-10-11,personal break,ATL Ops Sup 7,9
2022-10-11,scheduled break,ATL Ops Sup 5,26
2022-10-11,scheduled break,ATL Ops Sup 6,29
2022-10-11,scheduled break,ATL Ops Sup 7,31
2022-10-11,special assignment,ATL Ops Sup 5,3
2022-10-11,special assignment,ATL Ops Sup 6,1
2022-10-11,special assignment,ATL Ops Sup 7,1
2022-10-11,system issues,ATL Ops Sup 5,1
2022-10-11,system issues,ATL Ops Sup 7,1
2022-10-11,tc issues,ATL Ops Sup 5,7
2022-10-11,tc issues,ATL Ops Sup 7,6
2022-10-12,acw,ATL Ops Sup 5,216
2022-10-12,acw,ATL Ops Sup 6,235
2022-10-12,acw,ATL Ops Sup 7,268
2022-10-12,at a training session,ATL Ops Sup 5,2
2022-10-12,at a training session,ATL Ops Sup 6,2
2022-10-12,at a training session,ATL Ops Sup 7,2
2022-10-12,at lunch,ATL Ops Sup 5,20
2022-10-12,at lunch,ATL Ops Sup 6,12
2022-10-12,at lunch,ATL Ops Sup 7,15
2022-10-12,escalation wait,ATL Ops Sup 5,15
2022-10-12,escalation wait,ATL Ops Sup 6,17
2022-10-12,escalation wait,ATL Ops Sup 7,15
2022-10-12,follow up,ATL Ops Sup 5,176
2022-10-12,follow up,ATL Ops Sup 6,161
2022-10-12,follow up,ATL Ops Sup 7,188
2022-10-12,in a meeting,ATL Ops Sup 5,1
2022-10-12,in a meeting,ATL Ops Sup 7,4
2022-10-12,on call,ATL Ops Sup 5,264
2022-10-12,on call,ATL Ops Sup 6,228
2022-10-12,on call,ATL Ops Sup 7,289
2022-10-12,personal break,ATL Ops Sup 5,7
2022-10-12,personal break,ATL Ops Sup 6,6
