UserId,Date,StatusKey,Code,Min
AVANYUSH,2022-11-05,scheduled break,Team 1,15.5833333333333
AVANYUSH,2022-11-06,acw,Team 1,1.75
AVANYUSH,2022-11-06,at lunch,Team 1,60.1166666666667
AVANYUSH,2022-11-06,follow up,Team 1,0.0166666666666667
AVANYUSH,2022-11-06,on call,Team 1,15.2666666666667
AVANYUSH,2022-11-06,scheduled break,Team 1,15.8333333333333
AVANYUSH,2022-11-10,acw,Team 1,10.7
AVANYUSH,2022-11-10,at lunch,Team 1,61.3833333333333
AVANYUSH,2022-11-10,escalation wait,Team 1,2.88333333333333
AVANYUSH,2022-11-10,follow up,Team 1,0.35
AVANYUSH,2022-11-10,on call,Team 1,90.3666666666667
AVANYUSH,2022-11-10,scheduled break,Team 1,33.0333333333333
AVANYUSH,2022-11-10,tc issues,Team 1,0.233333333333333
AVANYUSH,2022-11-11,acw,Team 1,7.21666666666667
AVANYUSH,2022-11-11,at lunch,Team 1,63.2166666666667
AVANYUSH,2022-11-11,escalation wait,Team 1,0.683333333333333
AVANYUSH,2022-11-11,follow up,Team 1,0.25
AVANYUSH,2022-11-11,on call,Team 1,55.0833333333333
AVANYUSH,2022-11-11,scheduled break,Team 1,34.8333333333333
AVANYUSH,2022-11-11,tc issues,Team 1,0.433333333333333
AVANYUSH,2022-11-12,acw,Team 1,6.58333333333333
AVANYUSH,2022-11-12,at lunch,Team 1,63.0833333333333
AVANYUSH,2022-11-12,follow up,Team 1,0.233333333333333
AVANYUSH,2022-11-12,on call,Team 1,41.6833333333333
AVANYUSH,2022-11-12,scheduled break,Team 1,34.3666666666667
AVANYUSH,2022-11-13,acw,Team 1,2.25
AVANYUSH,2022-11-13,at lunch,Team 1,66.6333333333333
AVANYUSH,2022-11-13,follow up,Team 1,0.0333333333333333
AVANYUSH,2022-11-13,on call,Team 1,29.1666666666667
AVANYUSH,2022-11-13,scheduled break,Team 1,15.0333333333333
AVANYUSH,2022-11-16,acw,Team 1,1.06666666666667
AVANYUSH,2022-11-16,follow up,Team 1,0.0166666666666667
AVANYUSH,2022-11-16,on call,Team 1,9.31666666666667
AVANYUSH,2022-11-16,scheduled break,Team 1,16.1833333333333
AVANYUSH,2022-11-17,acw,Team 1,1.46666666666667
AVANYUSH,2022-11-17,at lunch,Team 1,62.5166666666667
AVANYUSH,2022-11-17,escalation wait,Team 1,2.68333333333333
AVANYUSH,2022-11-17,follow up,Team 1,0.0333333333333333
AVANYUSH,2022-11-17,on call,Team 1,9.11666666666667
AVANYUSH,2022-11-17,scheduled break,Team 1,30.3833333333333
AVANYUSH,2022-11-18,acw,Team 1,1.43333333333333
AVANYUSH,2022-11-18,at lunch,Team 1,62.5166666666667
AVANYUSH,2022-11-18,escalation wait,Team 1,7.03333333333333
AVANYUSH,2022-11-18,follow up,Team 1,0.0166666666666667
AVANYUSH,2022-11-18,on call,Team 1,27.05
AVANYUSH,2022-11-18,scheduled break,Team 1,35.9166666666667
AVANYUSH,2022-11-24,acw,Team 1,1.16666666666667
AVANYUSH,2022-11-24,at lunch,Team 1,64.5666666666667
AVANYUSH,2022-11-24,escalation wait,Team 1,3.88333333333333
AVANYUSH,2022-11-24,follow up,Team 1,0.05
AVANYUSH,2022-11-24,on call,Team 1,26.6666666666667
AVANYUSH,2022-11-24,scheduled break,Team 1,17.0833333333333
AVANYUSH,2022-11-25,acw,Team 1,3.25
AVANYUSH,2022-11-25,escalation wait,Team 1,1.33333333333333
AVANYUSH,2022-11-25,follow up,Team 1,0.116666666666667
AVANYUSH,2022-11-25,in a meeting,Team 1,0.0333333333333333
AVANYUSH,2022-11-25,on call,Team 1,16.2833333333333
AVANYUSH,2022-11-25,scheduled break,Team 1,31.1666666666667
AVANYUSH,2022-11-26,acw,Team 1,2.41666666666667
AVANYUSH,2022-11-26,at lunch,Team 1,65.2166666666667
AVANYUSH,2022-11-26,escalation wait,Team 1,1.56666666666667
AVANYUSH,2022-11-26,follow up,Team 1,0.116666666666667
AVANYUSH,2022-11-26,on call,Team 1,23.1333333333333
AVANYUSH,2022-11-26,scheduled break,Team 1,32.3833333333333
AVANYUSH,2022-11-27,acw,Team 1,0.766666666666667
AVANYUSH,2022-11-27,at lunch,Team 1,61.9666666666667
AVANYUSH,2022-11-27,on call,Team 1,5.11666666666667
AVANYUSH,2022-11-27,scheduled break,Team 1,20.3666666666667
AVANYUSH,2022-11-30,acw,Team 1,3.83333333333333
AVANYUSH,2022-11-30,follow up,Team 1,0.0333333333333333
AVANYUSH,2022-11-30,on call,Team 1,28.95
AVANYUSH,2022-11-30,scheduled break,Team 1,17.3333333333333
AVANYUSH,2022-12-01,at lunch,Team 1,61.55
AVANYUSH,2022-12-01,scheduled break,Team 1,25.0166666666667
AVANYUSH,2022-12-02,acw,Team 1,1.86666666666667
AVANYUSH,2022-12-02,follow up,Team 1,0.0166666666666667
AVANYUSH,2022-12-02,on call,Team 1,13.0666666666667
AVANYUSH,2022-12-02,scheduled break,Team 1,15.9166666666667
AVANYUSH,2022-12-02,tc issues,Team 1,0.7
AVANYUSH,2022-12-03,acw,Team 1,2.25
AVANYUSH,2022-12-03,at lunch,Team 1,60.3333333333333
AVANYUSH,2022-12-03,escalation wait,Team 1,6.41666666666667
AVANYUSH,2022-12-03,follow up,Team 1,0.233333333333333
AVANYUSH,2022-12-03,on call,Team 1,28
