UserId,Date,StatusKey,Code,Min,Code2
AVANYUSH,2022-10-28,follow up,ATL Ops Sup 5,0.733333333333333,Team 1
AVANYUSH,2022-10-28,on call,ATL Ops Sup 5,94.7,Team 1
AVANYUSH,2022-10-28,personal break,ATL Ops Sup 5,6.01666666666667,Team 1
AVANYUSH,2022-10-28,scheduled break,ATL Ops Sup 5,32.6,Team 1
AVANYUSH,2022-10-29,acw,ATL Ops Sup 5,3.28333333333333,Team 1
AVANYUSH,2022-10-29,at lunch,ATL Ops Sup 5,62.1166666666667,Team 1
AVANYUSH,2022-10-29,escalation wait,ATL Ops Sup 5,9.46666666666667,Team 1
AVANYUSH,2022-10-29,follow up,ATL Ops Sup 5,0.35,Team 1
AVANYUSH,2022-10-29,on call,ATL Ops Sup 5,56.3333333333333,Team 1
AVANYUSH,2022-10-29,scheduled break,ATL Ops Sup 5,32.1333333333333,Team 1
AVANYUSH,2022-10-30,at lunch,ATL Ops Sup 5,62.6666666666667,Team 1
AVANYUSH,2022-10-30,follow up,ATL Ops Sup 5,0.1,Team 1
AVANYUSH,2022-10-30,on call,ATL Ops Sup 5,0.633333333333333,Team 1
AVANYUSH,2022-10-30,scheduled break,ATL Ops Sup 5,15.2833333333333,Team 1
AVANYUSH,2022-11-02,acw,ATL Ops Sup 5,1.8,Team 1
AVANYUSH,2022-11-02,follow up,ATL Ops Sup 5,0.366666666666667,Team 1
AVANYUSH,2022-11-02,on call,ATL Ops Sup 5,12.2333333333333,Team 1
AVANYUSH,2022-11-02,scheduled break,ATL Ops Sup 5,16.9833333333333,Team 1
AVANYUSH,2022-11-03,acw,ATL Ops Sup 5,4.73333333333333,Team 1
AVANYUSH,2022-11-03,at lunch,ATL Ops Sup 5,60.6333333333333,Team 1
AVANYUSH,2022-11-03,escalation wait,ATL Ops Sup 5,15.2833333333333,Team 1
AVANYUSH,2022-11-03,follow up,ATL Ops Sup 5,0.8,Team 1
AVANYUSH,2022-11-03,on call,ATL Ops Sup 5,48.5833333333333,Team 1
AVANYUSH,2022-11-03,scheduled break,ATL Ops Sup 5,35.2166666666667,Team 1
AVANYUSH,2022-11-04,acw,ATL Ops Sup 5,4.73333333333333,Team 1
AVANYUSH,2022-11-04,at lunch,ATL Ops Sup 5,62.75,Team 1
AVANYUSH,2022-11-04,follow up,ATL Ops Sup 5,0.333333333333333,Team 1
AVANYUSH,2022-11-04,on call,ATL Ops Sup 5,53.05,Team 1
AVANYUSH,2022-11-04,personal break,ATL Ops Sup 5,18.0333333333333,Team 1
AVANYUSH,2022-11-04,scheduled break,ATL Ops Sup 5,31.55,Team 1
AVANYUSH,2022-11-05,at lunch,ATL Ops Sup 5,62.9333333333333,Team 1
AVANYUSH,2022-11-05,follow up,ATL Ops Sup 5,0.0666666666666667,Team 1
AVANYUSH,2022-11-05,on call,ATL Ops Sup 5,0.666666666666667,Team 1
AVANYUSH,2022-11-05,scheduled break,ATL Ops Sup 5,15.5833333333333,Team 1
AVANYUSH,2022-11-06,acw,ATL Ops Sup 5,1.75,Team 1
AVANYUSH,2022-11-06,at lunch,ATL Ops Sup 5,60.1166666666667,Team 1
AVANYUSH,2022-11-06,follow up,ATL Ops Sup 5,0.0166666666666667,Team 1
AVANYUSH,2022-11-06,on call,ATL Ops Sup 5,15.2666666666667,Team 1
AVANYUSH,2022-11-06,scheduled break,ATL Ops Sup 5,15.8333333333333,Team 1
AVANYUSH,2022-11-10,acw,ATL Ops Sup 5,10.7,Team 1
AVANYUSH,2022-11-10,at lunch,ATL Ops Sup 5,61.3833333333333,Team 1
AVANYUSH,2022-11-10,escalation wait,ATL Ops Sup 5,2.88333333333333,Team 1
AVANYUSH,2022-11-10,follow up,ATL Ops Sup 5,0.35,Team 1
AVANYUSH,2022-11-10,on call,ATL Ops Sup 5,90.3666666666667,Team 1
AVANYUSH,2022-11-10,scheduled break,ATL Ops Sup 5,33.0333333333333,Team 1
AVANYUSH,2022-11-10,tc issues,ATL Ops Sup 5,0.233333333333333,Team 1
AVANYUSH,2022-11-11,acw,ATL Ops Sup 5,7.21666666666667,Team 1
AVANYUSH,2022-11-11,at lunch,ATL Ops Sup 5,63.2166666666667,Team 1
AVANYUSH,2022-11-11,escalation wait,ATL Ops Sup 5,0.683333333333333,Team 1
AVANYUSH,2022-11-11,follow up,ATL Ops Sup 5,0.25,Team 1
AVANYUSH,2022-11-11,on call,ATL Ops Sup 5,55.0833333333333,Team 1
AVANYUSH,2022-11-11,scheduled break,ATL Ops Sup 5,34.8333333333333,Team 1
AVANYUSH,2022-11-11,tc issues,ATL Ops Sup 5,0.433333333333333,Team 1
AVANYUSH,2022-11-12,acw,ATL Ops Sup 5,6.58333333333333,Team 1
AVANYUSH,2022-11-12,at lunch,ATL Ops Sup 5,63.0833333333333,Team 1
AVANYUSH,2022-11-12,follow up,ATL Ops Sup 5,0.233333333333333,Team 1
AVANYUSH,2022-11-12,on call,ATL Ops Sup 5,41.6833333333333,Team 1
AVANYUSH,2022-11-12,scheduled break,ATL Ops Sup 5,34.3666666666667,Team 1
AVANYUSH,2022-11-13,acw,ATL Ops Sup 5,2.25,Team 1
AVANYUSH,2022-11-13,at lunch,ATL Ops Sup 5,66.6333333333333,Team 1
AVANYUSH,2022-11-13,follow up,ATL Ops Sup 5,0.0333333333333333,Team 1
AVANYUSH,2022-11-13,on call,ATL Ops Sup 5,29.1666666666667,Team 1
AVANYUSH,2022-11-13,scheduled break,ATL Ops Sup 5,15.0333333333333,Team 1
AVANYUSH,2022-11-16,acw,ATL Ops Sup 5,1.06666666666667,Team 1
AVANYUSH,2022-11-16,follow up,ATL Ops Sup 5,0.0166666666666667,Team 1
AVANYUSH,2022-11-16,on call,ATL Ops Sup 5,9.31666666666667,Team 1
AVANYUSH,2022-11-16,scheduled break,ATL Ops Sup 5,16.1833333333333,Team 1
AVANYUSH,2022-11-17,acw,ATL Ops Sup 5,1.46666666666667,Team 1
AVANYUSH,2022-11-17,at lunch,ATL Ops Sup 5,62.5166666666667,Team 1
AVANYUSH,2022-11-17,escalation wait,ATL Ops Sup 5,2.68333333333333,Team 1
AVANYUSH,2022-11-17,follow up,ATL Ops Sup 5,0.0333333333333333,Team 1
